;;;
Jenis Tanah;Ph;Kelembapan;Suhu
Tanah Entisol;5,8;791;23,3
Tanah Entisol;5,8;781;23,3
Tanah Entisol;5,2;781;23,3
Tanah Entisol;5,7;781;23,4
Tanah Entisol;6,1;781;23,4
Tanah Entisol;5,8;781;23,4
Tanah Entisol;5,3;731;23,4
Tanah Entisol;5,7;731;23,4
Tanah Entisol;5,7;731;23,4
Tanah Entisol;5,6;756;23,4
Tanah Entisol;6,1;758;23,4
Tanah Entisol;6,3;784;23,4
Tanah Entisol;6,3;764;23,4
Tanah Entisol;5,8;758;23,4
Tanah Entisol;5,7;768;23,4
Tanah Entisol;6,1;768;23,4
Tanah Entisol;5,7;784;23,4
Tanah Entisol;5,8;785;23,5
Tanah Entisol;5,6;775;23,5
Tanah Entisol;5,6;783;23,5
Tanah Entisol;5,3;764;23,5
Tanah Entisol;5,7;764;23,5
Tanah Entisol;5,9;768;23,5
Tanah Entisol;5,6;756;23,5
Tanah Entisol;5,8;781;23,5
Tanah Entisol;6,1;775;23,5
Tanah Entisol;5,7;768;23,5
Tanah Entisol;5,7;789;23,5
Tanah Entisol;5,8;764;23,5
Tanah Entisol;5,6;756;23,5
Tanah Paras;4,6;650;23,4
Tanah Paras;4,4;640;23,4
Tanah Paras;4,5;640;23,4
Tanah Paras;4,5;630;23,4
Tanah Paras;4,4;630;23,4
Tanah Paras;4,5;630;23,4
Tanah Paras;4,6;634;23,4
Tanah Paras;4,5;645;23,4
Tanah Paras;4,7;654;23,4
Tanah Paras;4,4;654;23,4
Tanah Paras;4,6;648;23,4
Tanah Paras;4,4;650;23,4
Tanah Paras;4,8;648;23,4
Tanah Paras;4,4;648;23,4
Tanah Paras;4,6;654;23,5
Tanah Paras;4,4;658;23,5
Tanah Paras;4,5;657;23,5
Tanah Paras;4,7;657;23,5
Tanah Paras;4,7;655;23,5
Tanah Paras;4,5;658;23,5
Tanah Paras;4,4;662;23,5
Tanah Paras;4,4;658;23,5
Tanah Paras;4,8;654;23,5
Tanah Paras;4,7;654;23,5
Tanah Paras;4,5;657;23,5
Tanah Paras;4,4;658;23,5
Tanah Paras;4,7;658;23,5
Tanah Paras;4,5;657;23,5
Tanah Paras;4,4;654;23,5
Tanah Paras;4,6;658;23,5
Tanah Berkerikil;5,8;698;24,8
Tanah Berkerikil;5;688;24,8
Tanah Berkerikil;5,3;687;24,8
Tanah Berkerikil;5,5;686;24,8
Tanah Berkerikil;4,7;687;24,6
Tanah Berkerikil;5,4;686;24,6
Tanah Berkerikil;5,6;684;24,6
Tanah Berkerikil;5,7;683;24,7
Tanah Berkerikil;4,6;687;24,7
Tanah Berkerikil;4,8;685;24,8
Tanah Berkerikil;5,8;689;24,8
Tanah Berkerikil;5,7;684;24,8
Tanah Berkerikil;5,4;699;24,8
Tanah Berkerikil;5,6;685;24,8
Tanah Berkerikil;4,6;687;24,8
Tanah Berkerikil;5,3;684;24,8
Tanah Berkerikil;5,4;686;24,8
Tanah Berkerikil;5,8;678;24,8
Tanah Berkerikil;4,8;659;24,8
Tanah Berkerikil;4,4;687;24,8
Tanah Berkerikil;5,4;689;24,8
Tanah Berkerikil;5,8;679;24,8
Tanah Berkerikil;5,5;675;24,8
Tanah Berkerikil;5,7;684;24,8
Tanah Berkerikil;5,6;674;24,8
Tanah Berkerikil;4,8;678;24,8
Tanah Berkerikil;5,3;679;24,8
Tanah Berkerikil;5,7;683;24,8
Tanah Berkerikil;5,8;684;24,8
Tanah Berkerikil;5,6;684;24,8
Tanah Kompos;5,4;575;23,4
Tanah Kompos;5,2;581;23,4
Tanah Kompos;5,3;580;23,4
Tanah Kompos;5,5;585;23,4
Tanah Kompos;5,6;555;23,4
Tanah Kompos;5,7;553;23,4
Tanah Kompos;5,8;549;23,4
Tanah Kompos;5,7;547;23,4
Tanah Kompos;5,8;575;23,4
Tanah Kompos;5,9;581;23,4
Tanah Kompos;5,6;673;23,4
Tanah Kompos;5,6;578;23,4
Tanah Kompos;5,7;579;23,6
Tanah Kompos;5,4;568;23,6
Tanah Kompos;5,3;568;23,6
Tanah Kompos;5,8;567;23,6
Tanah Kompos;5,6;584;23,6
Tanah Kompos;5,7;586;23,6
Tanah Kompos;5,9;574;23,6
Tanah Kompos;5,8;578;23,6
Tanah Kompos;5,4;574;23,6
Tanah Kompos;5,3;574;23,6
Tanah Kompos;5,7;584;23,6
Tanah Kompos;5,8;587;23,6
Tanah Kompos;5,7;587;23,6
Tanah Kompos;5,8;574;23,6
Tanah Kompos;5,6;578;23,6
Tanah Kompos;5,5;567;23,6
Tanah Kompos;5,7;573;23,6
Tanah Kompos;5,8;581;23,6
Tanah Lempung;6,5;752;24,9
Tanah Lempung;6,4;723;24,9
Tanah Lempung;6,6;732;24,9
