Jenis Tanah,Kelembapan Tanah,pH Tanah,Suhu Udara,
Tanah Entisol,791,5.8,23.3,
Tanah Entisol,781,5.8,23.3,
Tanah Entisol,781,5.2,23.3,
Tanah Entisol,781,5.7,23.4,
Tanah Entisol,781,6.1,23.4,
Tanah Entisol,781,5.8,23.4,
Tanah Entisol,731,5.3,23.4,
Tanah Entisol,731,5.7,23.4,
Tanah Entisol,731,5.7,23.4,
Tanah Entisol,756,5.6,23.4,
Tanah Entisol,758,6.1,23.4,
Tanah Entisol,784,6.3,23.4,
Tanah Entisol,764,6.3,23.4,
Tanah Entisol,758,5.8,23.4,
Tanah Entisol,768,5.7,23.4,
Tanah Entisol,768,6.1,23.4,
Tanah Entisol,784,5.7,23.4,
Tanah Entisol,785,5.8,23.5,
Tanah Entisol,775,5.6,23.5,
Tanah Entisol,783,5.6,23.5,
Tanah Entisol,764,5.3,23.5,
Tanah Entisol,764,5.7,23.5,
Tanah Entisol,768,5.9,23.5,
Tanah Entisol,756,5.6,23.5,
Tanah Entisol,781,5.8,23.5,
Tanah Entisol,775,6.1,23.5,
Tanah Entisol,768,5.7,23.5,
Tanah Entisol,789,5.7,23.5,
Tanah Entisol,764,5.8,23.5,
Tanah Entisol,756,5.6,23.5,
Tanah Paras,650,4.6,23.4,
Tanah Paras,640,4.4,23.4,
Tanah Paras,640,4.5,23.4,
Tanah Paras,630,4.5,23.4,
Tanah Paras,630,4.4,23.4,
Tanah Paras,630,4.5,23.4,
Tanah Paras,634,4.6,23.4,
Tanah Paras,645,4.5,23.4,
Tanah Paras,654,4.7,23.4,
Tanah Paras,654,4.4,23.4,
Tanah Paras,648,4.6,23.4,
Tanah Paras,650,4.4,23.4,
Tanah Paras,648,4.8,23.4,
Tanah Paras,648,4.4,23.4,
Tanah Paras,654,4.6,23.5,
Tanah Paras,658,4.4,23.5,
Tanah Paras,657,4.5,23.5,
Tanah Paras,657,4.7,23.5,
Tanah Paras,655,4.7,23.5,
Tanah Paras,658,4.5,23.5,
Tanah Paras,662,4.4,23.5,
Tanah Paras,658,4.4,23.5,
Tanah Paras,654,4.8,23.5,
Tanah Paras,654,4.7,23.5,
Tanah Paras,657,4.5,23.5,
Tanah Paras,658,4.4,23.5,
Tanah Paras,658,4.7,23.5,
Tanah Paras,657,4.5,23.5,
Tanah Paras,654,4.4,23.5,
Tanah Paras,658,4.6,23.5,
Tanah Berkerikil,698,5.8,24.8,
Tanah Berkerikil,688,5.24,8.8,
Tanah Berkerikil,687,5.3,24.8,
Tanah Berkerikil,686,5.5,24.8,
Tanah Berkerikil,687,4.7,24.6,
Tanah Berkerikil,686,5.4,24.6,
Tanah Berkerikil,684,5.6,24.6,
Tanah Berkerikil,683,5.7,24.7,
Tanah Berkerikil,687,4.6,24.7,
Tanah Berkerikil,685,4.8,24.8,
Tanah Berkerikil,689,5.8,24.8,
Tanah Berkerikil,684,5.7,24.8,
Tanah Berkerikil,699,5.4,24.8,
Tanah Berkerikil,685,5.6,24.8,
Tanah Berkerikil,687,4.6,24.8,
Tanah Berkerikil,684,5.3,24.8,
Tanah Berkerikil,686,5.4,24.8,
Tanah Berkerikil,678,5.8,24.8,
Tanah Berkerikil,659,4.8,24.8,
Tanah Berkerikil,687,4.4,24.8,
Tanah Berkerikil,689,5.4,24.8,
Tanah Berkerikil,679,5.8,24.8,
Tanah Berkerikil,675,5.5,24.8,
Tanah Berkerikil,684,5.7,24.8,
Tanah Berkerikil,674,5.6,24.8,
Tanah Berkerikil,678,4.8,24.8,
Tanah Berkerikil,679,5.3,24.8,
Tanah Berkerikil,683,5.7,24.8,
Tanah Berkerikil,684,5.8,24.8,
Tanah Berkerikil,684,5.6,24.8,
Tanah Kompos,575,5.4,24.4,
Tanah Kompos,581,5.2,23.4,
Tanah Kompos,580,5.3,23.4,
Tanah Kompos,585,5.5,23.4,
Tanah Kompos,555,5.6,23.4,
Tanah Kompos,553,5.7,23.4,
