Data tanah pada daerah Ngadisanan;;;;
No;Jenis Tanah;Kelembapan Tanah;pH Tanah;Suhu Udara
1;Tanah Entisol;698;4,8;29,1
2;Tanah Entisol;688;4,8;29,1
3;Tanah Entisol;687;4,8;29,1
4;Tanah Entisol;686;4,7;29,1
5;Tanah Entisol;687;4,7;29,1
6;Tanah Entisol;686;4,7;29,1
7;Tanah Entisol;684;4,7;29,1
8;Tanah Entisol;683;4,7;29,1
9;Tanah Entisol;687;4,7;29,1
10;Tanah Entisol;685;4,6;29,2
11;Tanah Entisol;688;4,6;29,2
12;Tanah Entisol;687;4,6;29,2
13;Tanah Entisol;682;4,8;29,2
14;Tanah Entisol;654;4,5;29,2
15;Tanah Entisol;689;4,6;29,2
16;Tanah Entisol;677;4,5;29,2
17;Tanah Entisol;678;4,5;29,2
18;Tanah Entisol;678;4,6;29,2
19;Tanah Entisol;675;4,6;29,2
20;Tanah Entisol;677;4,6;29,2
21;Tanah Entisol;675;4,7;29,2
22;Tanah Entisol;679;4,7;29,2
23;Tanah Entisol;681;4,7;29,2
24;Tanah Entisol;681;4,6;29,2
25;Tanah Entisol;678;4,8;29,2
26;Tanah Entisol;676;4,8;29,2
27;Tanah Entisol;679;4,7;29,2
28;Tanah Entisol;683;4,6;29,2
29;Tanah Entisol;685;4,7;29,2
30;Tanah Entisol;683;4,8;29,2
31;Tanah Paras;743;4,7;30,7
32;Tanah Paras;743;4,6;30,7
33;Tanah Paras;742;4,6;30,7
34;Tanah Paras;742;4,5;30,7
35;Tanah Paras;741;4,6;30,7
36;Tanah Paras;741;4,5;30,7
37;Tanah Paras;741;4,5;30,7
38;Tanah Paras;741;4,5;30,7
39;Tanah Paras;741;4,4;30,8
40;Tanah Paras;740;4,5;30,8
41;Tanah Paras;741;4,4;30,9
42;Tanah Paras;740;4,3;30,9
43;Tanah Paras;739;4,3;31
44;Tanah Paras;738;4,3;31
45;Tanah Paras;738;4,2;31
46;Tanah Paras;737;4,2;31
47;Tanah Paras;738;4,2;31
48;Tanah Paras;737;4,5;31
49;Tanah Paras;737;4,2;31,1
50;Tanah Paras;736;4,1;31,1
51;Tanah Paras;737;4,1;31,1
52;Tanah Paras;736;4,3;31,1
53;Tanah Paras;735;4,1;31,3
54;Tanah Paras;736;4,1;31,3
55;Tanah Paras;735;4,2;31,3
56;Tanah Paras;735;4,1;31,3
57;Tanah Paras;736;4,1;31,3
58;Tanah Paras;735;4,1;31,5
59;Tanah Paras;736;4,3;31,5
60;Tanah Paras;735;4,5;31,5
61;Tanah Berkerikil;753;6,3;30,5
62;Tanah Berkerikil;755;6,4;30,5
63;Tanah Berkerikil;755;6,5;30,5
64;Tanah Berkerikil;754;6,5;30,5
65;Tanah Berkerikil;775;6,8;30,5
66;Tanah Berkerikil;773;6,7;30,6
67;Tanah Berkerikil;772;6,7;30,6
68;Tanah Berkerikil;771;6,6;30,6
69;Tanah Berkerikil;772;6,6;30,6
70;Tanah Berkerikil;773;6,6;30,6
71;Tanah Berkerikil;773;6,7;30,6
72;Tanah Berkerikil;773;6,6;30,6
73;Tanah Berkerikil;773;6,7;30,6
74;Tanah Berkerikil;774;6,7;30,6
75;Tanah Berkerikil;773;6,7;30,6
76;Tanah Berkerikil;774;6,7;30,6
77;Tanah Berkerikil;773;6,6;30,6
78;Tanah Berkerikil;775;6,7;30,7
79;Tanah Berkerikil;774;6,7;30,7
80;Tanah Berkerikil;775;6,7;30,7
81;Tanah Berkerikil;773;6,7;30,7
82;Tanah Berkerikil;775;6,6;30,7
83;Tanah Berkerikil;774;6,7;30,7
84;Tanah Berkerikil;775;6,7;30,7
85;Tanah Berkerikil;777;6,8;30,7
86;Tanah Berkerikil;776;6,8;30,7
87;Tanah Berkerikil;775;6,8;30,7
88;Tanah Berkerikil;775;6,7;30,7
89;Tanah Berkerikil;774;6,7;30,7
90;Tanah Berkerikil;775;6,8;30,7
91;Tanah Kompos;447;4,8;28,8
92;Tanah Kompos;439;4,7;28,8
93;Tanah Kompos;437;4,7;28,8
94;Tanah Kompos;435;4,6;28,8
95;Tanah Kompos;436;4,6;28,8
96;Tanah Kompos;434;4,6;28,8
97;Tanah Kompos;434;4,5;29,1
98;Tanah Kompos;432;4,5;29,1
99;Tanah Kompos;434;4,5;29,1
100;Tanah Kompos;432;4,5;29,1
101;Tanah Kompos;437;4,6;29,1
102;Tanah Kompos;434;4,6;29,1
103;Tanah Kompos;436;4,8;29,1
104;Tanah Kompos;435;4,7;29,1
105;Tanah Kompos;437;4,6;29,1
106;Tanah Kompos;435;4,6;29,1
107;Tanah Kompos;434;4,6;29,1
108;Tanah Kompos;437;4,5;29,1
109;Tanah Kompos;433;4,5;29,1
110;Tanah Kompos;437;4,5;29,1
111;Tanah Kompos;435;4,5;29,1
112;Tanah Kompos;438;4,6;29,1
113;Tanah Kompos;438;4,6;29,1
114;Tanah Kompos;435;4,5;29,1
115;Tanah Kompos;437;4,6;29,1
116;Tanah Kompos;438;4,6;29,1
117;Tanah Kompos;434;4,7;29,1
118;Tanah Kompos;435;4,7;29,1
119;Tanah Kompos;435;4,7;29,1
120;Tanah Kompos;435;4,6;29,1
121;Tanah Lempung;718;6,5;29,8
122;Tanah Lempung;717;6,3;29,8
